task,feature_set,model,threshold_selected_on_validation,validation_f1_at_threshold,accuracy,precision,recall,f1
maintenance_needed_from_predicted_risk_index,true_reports_only,mean_baseline,0.8964407209236835,0.31633986928104574,0.20522388059701493,0.20522388059701493,1.0,0.34055727554179566
maintenance_needed_from_predicted_risk_index,true_reports_only,ridge,0.8841747033452763,0.33396584440227706,0.4085820895522388,0.20926966292134833,0.6772727272727272,0.3197424892703863
maintenance_needed_from_predicted_risk_index,true_reports_only,random_forest,0.7041598651089278,0.3180026281208936,0.20708955223880596,0.2050561797752809,0.9954545454545455,0.34006211180124224
maintenance_needed_from_predicted_risk_index,true_reports_only,hist_gradient_boosting,0.6686038984018285,0.3188405797101449,0.21735074626865672,0.2066350710900474,0.990909090909091,0.3419607843137255
maintenance_needed_from_predicted_risk_index,extracted_reports_only,mean_baseline,0.8964407209236835,0.31633986928104574,0.20522388059701493,0.20522388059701493,1.0,0.34055727554179566
maintenance_needed_from_predicted_risk_index,extracted_reports_only,ridge,0.8719527534123784,0.3241590214067278,0.30223880597014924,0.2111597374179431,0.8772727272727273,0.3403880070546737
maintenance_needed_from_predicted_risk_index,extracted_reports_only,random_forest,0.6894022414285885,0.31758530183727035,0.20708955223880596,0.2050561797752809,0.9954545454545455,0.34006211180124224
maintenance_needed_from_predicted_risk_index,extracted_reports_only,hist_gradient_boosting,0.7388692705673374,0.3219645293315143,0.25652985074626866,0.21121121121121122,0.9590909090909091,0.34618539786710417
maintenance_needed_from_predicted_risk_index,usage_only,mean_baseline,0.8964407209236835,0.31633986928104574,0.20522388059701493,0.20522388059701493,1.0,0.34055727554179566
maintenance_needed_from_predicted_risk_index,usage_only,ridge,0.8392448032907571,0.7654320987654321,0.9188432835820896,0.8093023255813954,0.7909090909090909,0.8
maintenance_needed_from_predicted_risk_index,usage_only,random_forest,0.8485292280063323,0.8138528138528138,0.9375,0.84,0.8590909090909091,0.849438202247191
maintenance_needed_from_predicted_risk_index,usage_only,hist_gradient_boosting,0.8484726730629764,0.8373983739837398,0.9449626865671642,0.8285714285714286,0.9227272727272727,0.8731182795698925
maintenance_needed_from_predicted_risk_index,usage_plus_true_reports,mean_baseline,0.8964407209236835,0.31633986928104574,0.20522388059701493,0.20522388059701493,1.0,0.34055727554179566
maintenance_needed_from_predicted_risk_index,usage_plus_true_reports,ridge,0.8211109060954185,0.7750865051903114,0.9057835820895522,0.7016949152542373,0.9409090909090909,0.8038834951456311
maintenance_needed_from_predicted_risk_index,usage_plus_true_reports,random_forest,0.8511386319176084,0.8141592920353983,0.9449626865671642,0.8709677419354839,0.8590909090909091,0.8649885583524027
maintenance_needed_from_predicted_risk_index,usage_plus_true_reports,hist_gradient_boosting,0.8337626933025077,0.850909090909091,0.9281716417910447,0.7491289198606271,0.9772727272727273,0.8481262327416174
maintenance_needed_from_predicted_risk_index,usage_plus_extracted_reports,mean_baseline,0.8964407209236835,0.31633986928104574,0.20522388059701493,0.20522388059701493,1.0,0.34055727554179566
maintenance_needed_from_predicted_risk_index,usage_plus_extracted_reports,ridge,0.8268786877046029,0.7881040892193308,0.9160447761194029,0.7443609022556391,0.9,0.8148148148148148
maintenance_needed_from_predicted_risk_index,usage_plus_extracted_reports,random_forest,0.8506469694681096,0.8105726872246696,0.941231343283582,0.8584474885844748,0.8545454545454545,0.856492027334852
maintenance_needed_from_predicted_risk_index,usage_plus_extracted_reports,hist_gradient_boosting,0.8564238897900984,0.8326180257510729,0.9440298507462687,0.8603603603603603,0.8681818181818182,0.8642533936651584
