task,feature_set,model,eval_split,n,mae,rmse,r2
maintenance_risk_index_regression,true_reports_only,mean_baseline,validation,644,0.17965575920351373,0.213780927815629,-1.2796223745611082
maintenance_risk_index_regression,true_reports_only,mean_baseline,test,1072,0.18144666916403626,0.21853115126644188,-1.1324465931449352
maintenance_risk_index_regression,true_reports_only,ridge,validation,644,0.17997844517470757,0.21337049312684428,-1.270877553844127
maintenance_risk_index_regression,true_reports_only,ridge,test,1072,0.18241486914275926,0.22048454269762605,-1.1707397155272692
maintenance_risk_index_regression,true_reports_only,random_forest,validation,644,0.20314539115491348,0.2470136650171383,-2.043455490482255
maintenance_risk_index_regression,true_reports_only,random_forest,test,1072,0.20701071784693403,0.2524354099348194,-1.8454568570648657
maintenance_risk_index_regression,true_reports_only,hist_gradient_boosting,validation,644,0.20162059001147958,0.24602071703908807,-2.0190364442185715
maintenance_risk_index_regression,true_reports_only,hist_gradient_boosting,test,1072,0.2059470813020148,0.2542730175934828,-1.88703474031607
maintenance_risk_index_regression,extracted_reports_only,mean_baseline,validation,644,0.17965575920351373,0.213780927815629,-1.2796223745611082
maintenance_risk_index_regression,extracted_reports_only,mean_baseline,test,1072,0.18144666916403626,0.21853115126644188,-1.1324465931449352
maintenance_risk_index_regression,extracted_reports_only,ridge,validation,644,0.17986094180905635,0.21314417248276604,-1.2660626997065911
maintenance_risk_index_regression,extracted_reports_only,ridge,test,1072,0.18205889735987182,0.21996271923052446,-1.1604768420177374
maintenance_risk_index_regression,extracted_reports_only,random_forest,validation,644,0.2007348324781053,0.2440310367690664,-1.9704012967576192
maintenance_risk_index_regression,extracted_reports_only,random_forest,test,1072,0.20588736066208177,0.24929038745108492,-1.7749970187721051
maintenance_risk_index_regression,extracted_reports_only,hist_gradient_boosting,validation,644,0.20105044806270514,0.24548256496599563,-2.005843053153283
maintenance_risk_index_regression,extracted_reports_only,hist_gradient_boosting,test,1072,0.20233898831259742,0.2505688974858288,-1.8035336931941544
maintenance_risk_index_regression,usage_only,mean_baseline,validation,644,0.17965575920351373,0.213780927815629,-1.2796223745611082
maintenance_risk_index_regression,usage_only,mean_baseline,test,1072,0.18144666916403626,0.21853115126644188,-1.1324465931449352
maintenance_risk_index_regression,usage_only,ridge,validation,644,0.061068861296106836,0.07540900903773473,0.7163573964271717
maintenance_risk_index_regression,usage_only,ridge,test,1072,0.06287463794083151,0.07689973122325992,0.7359409238714567
maintenance_risk_index_regression,usage_only,random_forest,validation,644,0.0335718834666766,0.04136527604368092,0.9146513119905778
maintenance_risk_index_regression,usage_only,random_forest,test,1072,0.03375522930365685,0.043373483792521095,0.9159959802103992
maintenance_risk_index_regression,usage_only,hist_gradient_boosting,validation,644,0.03114026410488006,0.03961311359934167,0.9217286265582463
maintenance_risk_index_regression,usage_only,hist_gradient_boosting,test,1072,0.03062169627907405,0.03852293693429686,0.9337340794983339
maintenance_risk_index_regression,usage_plus_true_reports,mean_baseline,validation,644,0.17965575920351373,0.213780927815629,-1.2796223745611082
maintenance_risk_index_regression,usage_plus_true_reports,mean_baseline,test,1072,0.18144666916403626,0.21853115126644188,-1.1324465931449352
maintenance_risk_index_regression,usage_plus_true_reports,ridge,validation,644,0.058925462296994045,0.07333072852943484,0.7317763951027367
maintenance_risk_index_regression,usage_plus_true_reports,ridge,test,1072,0.06181740481502458,0.07564352540787549,0.7444976034470069
maintenance_risk_index_regression,usage_plus_true_reports,random_forest,validation,644,0.03275116264454552,0.04075851419565689,0.9171368032842597
maintenance_risk_index_regression,usage_plus_true_reports,random_forest,test,1072,0.03309621933511721,0.04276974234476445,0.9183183083256563
maintenance_risk_index_regression,usage_plus_true_reports,hist_gradient_boosting,validation,644,0.02759920172600806,0.0349391988964921,0.9391093119037706
maintenance_risk_index_regression,usage_plus_true_reports,hist_gradient_boosting,test,1072,0.027661953585163785,0.0353062933326833,0.9443383974494488
maintenance_risk_index_regression,usage_plus_extracted_reports,mean_baseline,validation,644,0.17965575920351373,0.213780927815629,-1.2796223745611082
maintenance_risk_index_regression,usage_plus_extracted_reports,mean_baseline,test,1072,0.18144666916403626,0.21853115126644188,-1.1324465931449352
maintenance_risk_index_regression,usage_plus_extracted_reports,ridge,validation,644,0.05999657168699197,0.07445506987266903,0.7234882780042471
maintenance_risk_index_regression,usage_plus_extracted_reports,ridge,test,1072,0.06266745454104897,0.0766278968186109,0.7378044797441701
maintenance_risk_index_regression,usage_plus_extracted_reports,random_forest,validation,644,0.03321147868007141,0.04130717834338698,0.9148908887955537
maintenance_risk_index_regression,usage_plus_extracted_reports,random_forest,test,1072,0.033540182986924565,0.043304342431265096,0.9162635871630674
maintenance_risk_index_regression,usage_plus_extracted_reports,hist_gradient_boosting,validation,644,0.028997805015042732,0.037091519382477345,0.9313762821598079
maintenance_risk_index_regression,usage_plus_extracted_reports,hist_gradient_boosting,test,1072,0.029341309097698297,0.03726396181550944,0.9379946007774889
