target,model,eval_split,n,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mean_confidence,ece_10bin
component_code,keyword_rules,validation,11592,0.8077984817115252,0.8594000941214144,0.8070792929262416,0.80336252548163,0.8043075160534573,0.7016390614216702,0.10615942028985506
component_code,keyword_rules,test,19296,0.800632255389718,0.8559126374247057,0.8008983550002705,0.7976350672525723,0.796820685925658,0.7007462686567165,0.09988598673300168
component_code,keyword_rules,gold_subset,1200,0.7741666666666667,0.829413395593171,0.8097308488612838,0.7866985220259755,0.7749956782752189,0.7041666666666667,0.10750000000000007
component_code,char_tfidf_sgd,validation,11592,1.0,1.0,1.0,1.0,1.0,0.9916422102145368,0.008357789785463268
component_code,char_tfidf_sgd,test,19296,1.0,1.0,1.0,1.0,1.0,0.9914250670160968,0.00857493298390309
component_code,char_tfidf_sgd,gold_subset,1200,1.0,1.0,1.0,1.0,1.0,0.9916619803818444,0.008338019618155642
severity,keyword_rules,validation,11592,0.4923222912353347,0.42802234206523265,0.40328396410183387,0.3836533623752882,0.4616895636601007,0.5007763975155279,0.18907867494824018
severity,keyword_rules,test,19296,0.4945584577114428,0.43688435271113546,0.41793510777295395,0.39647534984483646,0.4629004166797877,0.502285447761194,0.1895936981757878
severity,keyword_rules,gold_subset,1200,0.38083333333333336,0.5052389539265917,0.3225882132132132,0.32416305245430044,0.3414559666259827,0.51825,0.19333333333333333
severity,char_tfidf_sgd,validation,11592,0.6896997929606625,0.5863524896614236,0.6874698150379936,0.6165979797985637,0.6945706340980209,0.7025353767370208,0.022353725513629658
severity,char_tfidf_sgd,test,19296,0.6849087893864013,0.5875756257819422,0.6861984169326532,0.6174161287780462,0.6893585793141693,0.7015261016404731,0.022927296488464796
severity,char_tfidf_sgd,gold_subset,1200,0.5491666666666667,0.6064900197497443,0.5196535821535821,0.5392235575886145,0.5389679226302466,0.6871202664904202,0.1379535998237535
location_hint,keyword_rules,validation,11592,0.961007591442374,0.9272172695742489,0.9608770438840137,0.9421643128159044,0.9621693080691955,0.5670721187025537,0.3939354727398205
location_hint,keyword_rules,test,19296,0.958851575456053,0.9204268031814276,0.9619049280636784,0.9383034967363005,0.9603855686058196,0.568273217247098,0.3905783582089551
location_hint,keyword_rules,gold_subset,1200,0.9691666666666666,0.9512940078215987,0.9685299729419284,0.9594123019765767,0.9696195580898823,0.5756666666666667,0.3934999999999999
location_hint,char_tfidf_sgd,validation,11592,0.9951690821256038,0.993884729791779,0.9973559962228519,0.9955888161773476,0.9951806226068232,0.9849411783312662,0.01119640368246222
location_hint,char_tfidf_sgd,test,19296,0.9956467661691543,0.994280870167395,0.9976339361162752,0.9959328440969971,0.9956552644493057,0.9854190265589527,0.010834804774811382
location_hint,char_tfidf_sgd,gold_subset,1200,0.9975,0.9961832061068702,0.9986807387862796,0.9974196756707384,0.9975047191772393,0.9856864268572243,0.012310153220853447
